name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,61436,157,4.51s,18.96ms,178.77us,19.13ms,622.23us,18.44ms,22.83ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,899232,71319,4.62s,39.05us,830.00ns,41.92us,23.23us,37.84us,5.83ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,899232,73835,4.57s,38.45us,1.23us,40.48us,7.27us,35.55us,217.36us
curated/01-literal/sherlock-en,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,899232,72791,4.62s,38.51us,1.13us,41.06us,7.95us,35.34us,311.51us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,899232,20096,4.57s,141.85us,2.19us,149.10us,16.36us,138.78us,353.21us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,899232,5915,4.51s,492.36us,8.24us,507.05us,36.64us,482.62us,779.54us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,899232,5967,4.51s,493.39us,7.37us,502.68us,25.13us,484.47us,797.20us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1570556,42279,4.57s,65.84us,1.89us,70.79us,12.15us,63.30us,833.95us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,1570556,42329,4.57s,66.99us,1.56us,70.72us,10.47us,60.84us,373.61us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,1570556,42021,4.57s,66.06us,2.45us,71.23us,12.49us,60.56us,317.98us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1570556,8716,4.56s,331.42us,16.88us,344.11us,38.64us,308.90us,726.92us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
